"","review_content","PositiveWordsCount","NegativeWordsCount","Sentiment_Positive","Sentiment_Negative","result"
"1","I ordered the five-pack and I received generic Made in China filters and not Brita brand filters.  This is despite the product description calling them Brita filters and the pictures of the product having the Brita logo.",0,0,0.5,0.5,"Positive"
"2","I've read all the answers from Brita to the comments posted by unsatisfied customers about the filter NOT staying sealed tightly. I know about first rinsing a new filter in cold water for 15 seconds. I know that you need to line up the filter with the grooves. I know you then push down hard the filter so it locks in place - so called! AFTER HAVING DONE THIS, the filter still pops up a fraction causing water to leak through the sides of said filter. Now, I am 6'5"", 250 lbs. I lift weights 4 days a week. I am not a weak duckling. Yet, time after time, even after pushing down the filter with all my strength, the filter will not stay tightly secured in place. Why there is no rubber ring for added sealment remains a mystery to me. Why they didn't design this to ""screw"" said filter in place so it is water tight (versus just dropping the filter into the pitcher and pushing down), is a mystery to me. And, even when the filter does happen to seal a little tighter than it normally does, as soon as I move the pitcher about (to pour water for example), the filter will pop up again. The design is flawed, plain and simple. I do not have a bad device per say, it's just that they did not design the filter housing with effectiveness.",0,6,0,1,"Negative"
"3",NA,0,0,0.5,0.5,"Positive"
"4","Fantastic water filter, and when Brita says ""advanced"" they aren't blowing smoke.I was disenchanted with Brita back in the day - the filters seemed awfully fussy to set up, and they seemed to need changing quite often.  So far I haven't had any issues with these new filters.  Priming it took 15 seconds - no joke - and it was pretty much ready right after priming.  That's to say, I didn't get any black dust or floaties in the first few loads, like I did with the older filters.So I'm back to Brita.  This is a good filter and it does a good job.",0,0,0.5,0.5,"Positive"
"5","I used these replacement filters for my Brita grand pitcher and they work great. I have very hard water in the area where I live and this filter really helps a lot. Also, I noticed I would get the change light super early. They last a lot longer than the pitcher claims.Pros:*Easy to install.*Works well.*Water doesn't take long to go through the filter.Cons:*NoneAdditional Considerations:Make sure the right filters are bought to fit the size of your pitcher.Overall: 5/5 stars (>=.5 rounds up, <.5 rounds down) => 5 starsIf you have any further questions regarding the product in my review please leave a comment below and I will get back to you as soon as possible.",0,0,0.5,0.5,"Positive"
"6","These are a newer design than the filters I have previously purchased. The new shape makes them easier to grasp and install. You also no longer need to soak the filters prior to use, which I find more convenient. The newer design seems to filter the water much quicker which is great for my family that can go through a pitcher very rapidly. I have also noticed that there aren't any of those unsightly black ""floaters"" in my water anymore.As for the functionality, these filters make my tap water taste much better and remove many of the impurities and toxins. Given the amount of water you can filter, this is not only a much more cost effective solution to bottled water but also more environmentally friendly one.Overall, these are great filters at a reasonable price! I will be purchasing more in the near future.",0,0,0.5,0.5,"Positive"
"7","I love these filters. I drink over a gallon a day and buying water bottles was getting a bit expensive and annoying (having to buy 2 cases a week and then running out without knowing). These are the 2nd set I buy. The first set of 3 lasted me about 4 months. So I would say a month per filter which in my case is great considering I was spending over $20 in water bottles each month. It is very convenient and inexpensive. And I can have cold water everyday without having to remember to put more water bottles in the fridge after I take one.",0,0,0.5,0.5,"Positive"
"8","These Brita filters are an improvement over the old Brita filters. We've used Brita filters for years and I didn't notice when I ordered these that the design has changed a bit. The taste of our water after using these filters is the same as we are used to (the filters remove that chlorine taste that our regular tap water has), but the water filters through quicker, which is nice. I've also noticed there is virtually no black carbon specs slipping into the water pitcher like we had with the old Brita filters. I wasn't looking for a different Brita filter but I'm glad I ordered these and I'll make sure I will get the same kind again the next time I need to reorder.",0,0,0.5,0.5,"Positive"
"9","I have a plain old brita pitcher. Bullet items say this product is NOT for the brita ""stream"" model. The instructions in the package refer to the electronic light. The instructions say light will change 3 times if you place label correctly. My pitcher does not have a light. Upon checking brita site I discovered the instructions are for the brita ""stream.""  Also bullet item says no rinsing necessary. Yet instructions say to rinse. I'm just not sure I got what I thought I was buying and if anyone cares?",0,0,0.5,0.5,"Positive"
"10","When I bought this pitcher I thought the lid would cover the entire pitcher just like it shows on the package. It turns out there is no lid for the pouring part which made me very disappointed about this product because I wanted to use this for a small fridge.",0,0,0.5,0.5,"Positive"
"11",NA,0,0,0.5,0.5,"Positive"
"12","I use these with my Brita pitcher. As a college student, this is a lifesaver for being able to get clean water in a dorm room without wasting hundreds of plastic bottles a month.  The button on the top of the filter allows for easy installation and replacement. Brita guarantees that Brita brand filters will work in any of their products, and in my experience, this has been the case. The filter uses activated carbon to filter the water.I purchased a three pack for $12 with Prime shipping versus my local store price of $25 dollars for three. They arrived individually wrapped and unharmed in a box. When opened, the filters can be moist because packaged in a way so that they are ready for immediate use.Note: on the instructions that the first one or two pitchers of water should be used to water plants or similar to allow the filter to begin functioning properly. I drank the first few pitchers despite this warning, and the water tasted fine without any carbon residue.",0,0,0.5,0.5,"Positive"
"13","If you have problems with water in your area and you want to make it better for you kitchen needs this filter water replacements are absolutely great for most of the contaminants in your plumbs. In particular I have to say that without using that filter I always had a precipitate on the bottom and walls of my pan. Now, I do not worry about that et all, using this filters I can cook without bothering to buy spring water or any bottled water from a grocery store.For those who have kids it is absolutely essential to have one of those if you do not have pure water in your area.",0,0,0.5,0.5,"Positive"
"14","Brita filters a great. they work well and last, I have been using Brita for many many years and will continue to do so .  Pre-soaking is no longer required, and a new mesh is meant to prevent carbon flecks from leaking into the water. The flecks were always harmless, but unsightly. That new top is also a lot easier to grab-This filter still does what Brita has always done. Remove chlorine, sediment, zinc to make your water taste better, and reduce various other metallic/toxic contaminants that may be present. It makes tap water taste better, potentially makes the water safer, and costs far less than bottled water. Besides that, filtering is much more environmentally-friendly than bottled water  so your are helping the environment and saving money",0,0,0.5,0.5,"Positive"
"15","We live in Arizona, where the water is awful.  It's hard, and full of minerals and salts from the desert.  We drink only bottled water, but use filtered water to make coffee and tea. We've had a Brita pitcher for several years, and liked it for this purpose. When it was time to change the filter, it was inconvenient to let the filter soak for 15 minutes before putting it in the pitcher. These new filters only need to be rinsed thoroughly under the faucet before use.  The old filters also seemed to leave more charcoal powder in the pitcher than these new ones do.",0,0,0.5,0.5,"Positive"
"16","I was very unhappy when the package arrived because these filters didn't look like the ones I'd been using for years, nor did they look like the ones pictured.  But when I went to use them, I was delighted!  Formerly the water trickled so slowly into the pitcher and you had to wait around to put more in.  With these filters, the water fills up the pitcher SO much more quickly.  One hopes the quality of the water that has gone through the filter is just as good...",0,0,0.5,0.5,"Positive"
"17","I started using the Brita water Pitcher over 5 years ago. I always complained about how hard it was to remove the filter from the pitcher, until now.Thank jesus for R&D. Now they made so it's very easy to get out and you do not have to soak it in a glass of water anymore.These filter works great and you can really tell the difference when drinking water. No chlorine taste and no charcoal flakes floating around in the water.Good price great product.I only gave it 4 stars because 5 stars are meant for angels and gods.",0,0,0.5,0.5,"Positive"
"18","Great replacements to use in my counter top container, these work great and are easy to use / replace. They are good for 2 months so this 3 pack is a great buy for me.I am a firm believer that water has a taste, I know it's the stuff in the water that makes it taste different. I love these filters as we have well water that sometimes has some dirt and sediments and these filters clean all of that out so we have great tasting water every time.We go through a lot of drinking water and these filters last the whole 2 months, probably could last longer but we go ahead and change them as recommended.  If this review is helpful to you, please push the button below. Thanks and God bless!",0,0,0.5,0.5,"Positive"
"19","Absolute waste of money. I have been using my Brita water filter for 10 years and never had a problem with it until I started using these replacement filters. These float out even after being pressed in. I fill the upper reservoir and I see the filter unseat. At other times I am tipping the pitcher to use the filtered water and I hear a ""clunk"" and I know the filter has fallen out.Brita has changed their replacement filter design and it's a few fractions of a millimeter too small, making for a loose fit.",0,0,0.5,0.5,"Positive"
"20","I bought the 3-pack filters elsewhere. However, I found that the new filter style leaked some water down the side of the filter after the install, instead of going through the inside element. After looking at it, I pushed down harder on the replacement filter to seat it correctly. The upper lip of the replacement filter is now just below the lower lip of the housing. That fixed the problem. Now all water exits through the four holes in the filter bottom. The older filters did not require as much elbow grease. Hope this helps those complaining about leaking filters or tap-tasting filtered water. We've enjoyed our Brita for years and I hope it continues to last.",0,0,0.5,0.5,"Positive"
"21","I'm happy with these Brita water filters. They fit my Brita pitcher and the water tastes very clean. The water doesn't take too long to filter through it. I have discovered that I need to leave the pitcher in the sink after filling, without carrying it to the fridge until all of the water has filtered through. Otherwise, carrying the pitcher while it filters occasionally causes the filter to dislodge a little, allowing unfiltered water to pass through very quickly. It would be nice if there was a way to lock it in place. Otherwise, I'm very happy.",0,0,0.5,0.5,"Positive"
"22","Generally a good filter, but they do not seem to fit Brita pitchers as well as the generics. I bought the counter-top dispenser and both the filter that came with it and the first from my replacement order ""pop out"" of their mounts every few days. When that happens, unfiltered water flows straight through into the dispenser, requiring me to dump the (now contaminated) water in the dispenser, disassemble the dispenser, reseat the filter, and refill.Generic filters have a much tighter fit in the dispenser; I have to pull harder to get them out, but they STAY IN.",0,0,0.5,0.5,"Positive"
"23",NA,0,0,0.5,0.5,"Positive"
